nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],Class,logBCF
0,5.098,1.37,0.18,1.46,1.79,1,0,7,1,1.08
2,0.0,1.24,0.21,2.73,0.66,0,1,0,1,1.13
8,8.281,3.28,0.19,5.91,1.18,0,0,2,3,2.89
1,5.827999999999999,1.4,0.21,1.67,2.18,0,0,10,2,2.16
3,0.0,1.26,0.21,3.62,0.78,0,0,1,1,2.53
0,0.0,0.0,0.31,0.33,0.95,0,0,0,1,0.42
3,0.0,1.25,0.21,3.62,0.77,0,0,1,1,2.84
6,0.0,1.27,0.23,5.21,0.59,0,0,0,1,4.27
2,0.0,0.0,0.3,2.27,1.25,0,0,0,1,1.02
2,0.0,1.36,0.18,2.89,0.73,0,0,4,3,0.1
6,6.551,2.35,0.2,4.8,1.4,0,0,4,3,2.1
8,7.529,2.52,0.19,5.03,1.2,0,0,4,3,3.12
1,0.0,1.24,0.2,2.46,0.84,0,0,1,1,1.28
0,0.0,1.23,0.16,0.67,0.62,0,1,0,2,1.04
0,6.477,2.28,0.17,3.05,1.74,0,1,0,1,1.64
0,0.0,0.0,0.25,-0.47,1.0,0,1,0,1,0.41
5,6.442,2.34,0.21,6.23,1.21,0,0,0,2,5.43
1,6.711,2.33,0.18,5.63,2.06,0,0,0,3,2.63
0,5.901,2.1,0.18,3.31,1.84,0,0,2,3,1.52
8,6.853,2.34,0.21,6.93,1.18,0,0,0,2,5.81
0,0.0,1.22,0.24,3.56,1.56,0,0,0,1,2.75
4,0.0,0.34,0.4,2.46,0.21,0,0,0,1,1.78
4,0.0,0.26,0.42,0.45,1.09,2,0,0,1,0.54
5,6.386,2.37,0.21,6.23,1.21,0,0,0,1,4.58
6,0.0,0.65,0.32,3.66,0.4,0,0,0,1,3.82
1,0.0,1.23,0.2,2.13,0.68,0,1,0,1,0.72
4,7.127999999999999,2.5,0.18,4.09,1.23,0,0,4,3,3.76
3,6.124,2.28,0.18,3.84,1.25,0,0,4,3,1.7
0,0.0,1.5,0.15,1.7,0.92,0,1,8,1,1.16
0,0.0,1.24,0.18,1.86,0.86,0,0,1,1,1.03
0,3.992,1.35,0.19,2.11,1.75,1,0,5,1,0.82
3,0.0,1.26,0.19,2.74,0.78,0,0,3,1,2.46
2,1.386,0.0,0.48,4.76,2.39,0,0,0,3,1.93
0,0.0,1.5,0.15,1.7,0.92,0,1,8,1,1.16
0,8.026,3.81,0.15,3.73,1.86,0,0,11,3,1.63
0,6.285,1.27,0.22,4.25,2.96,0,0,2,3,3.02
4,0.0,0.93,0.28,2.07,1.02,0,1,1,1,2.22
5,4.931,1.36,0.24,4.46,1.27,0,0,8,3,1.63
3,0.0,1.49,0.19,3.7,0.68,0,1,4,1,1.84
2,0.0,1.23,0.33,3.8,0.63,0,0,0,1,2.8
2,0.0,1.24,0.21,2.73,0.66,0,1,0,1,1.13
0,5.901,2.19,0.2,4.92,2.12,0,0,0,3,2.86
1,0.0,1.24,0.2,2.46,0.88,0,1,0,1,1.37
5,0.0,1.26,0.23,4.93,0.6,0,0,0,1,3.84
0,5.662000000000001,2.17,0.14,1.05,1.16,1,1,0,1,0.3
3,6.4910000000000005,2.46,0.17,4.3,1.32,0,1,6,1,3.31
0,0.0,1.23,0.18,1.51,0.69,0,1,0,1,0.26
3,4.343,1.31,0.19,3.2,1.17,0,0,3,3,1.76
0,3.4339999999999997,0.0,0.27,3.87,3.39,0,0,14,3,3.99
0,7.859,3.53,0.17,4.59,1.65,0,0,0,3,2.41
1,6.709,2.4,0.14,4.12,2.04,0,1,7,1,3.21
0,6.778,2.66,0.19,4.09,2.71,0,1,7,3,2.31
0,0.0,0.0,0.27,1.59,1.8,0,1,0,1,0.45
4,6.667999999999999,2.4,0.2,5.57,1.02,0,0,0,3,3.52
2,0.0,1.52,0.28,2.94,0.69,0,1,1,3,1.46
1,6.692,2.3,0.24,5.47,3.23,0,0,10,3,0.82
0,0.0,1.7,0.14,2.24,0.99,0,1,10,1,0.9
2,6.027,2.18,0.25,3.31,2.06,0,1,12,1,2.84
3,6.099,1.77,0.34,1.48,2.33,1,1,4,1,2.27
4,6.6979999999999995,2.17,0.24,4.46,2.64,0,0,4,3,2.26
5,5.872999999999999,2.07,0.3,4.54,1.54,0,0,7,3,3.78
2,7.4,3.39,0.16,4.3,1.58,0,1,3,1,3.7
3,5.34,2.1,0.18,3.99,1.46,2,1,4,1,1.99
0,6.422999999999999,2.38,0.18,3.96,1.46,0,0,0,1,3.37
2,3.446,1.23,0.32,1.6,1.12,0,0,5,1,1.89
2,0.0,1.56,0.19,2.96,0.7,0,1,0,1,2.0
2,6.711,2.33,0.58,6.2,2.06,0,0,0,1,3.14
0,0.0,1.17,0.19,2.81,1.86,0,1,0,1,2.04
4,6.386,2.31,0.21,5.99,1.22,0,0,0,1,4.56
6,0.0,1.27,0.37,6.0,0.59,0,0,0,3,3.0
1,5.187,1.4,0.23,2.57,2.95,0,1,4,2,2.27
0,6.046,2.26,0.18,4.41,1.85,0,0,0,3,2.82
0,0.0,1.49,0.14,1.35,0.72,0,1,5,1,1.4
0,0.0,0.62,0.13,1.4,0.92,0,1,0,1,0.3
1,0.0,1.23,0.24,2.3,0.64,0,0,1,1,1.1
5,6.442,2.34,0.21,6.23,1.21,0,0,0,1,5.05
0,0.0,0.0,0.34,3.48,1.67,0,0,0,1,2.32
0,0.0,1.7,0.12,1.4,0.79,0,1,9,1,0.31
5,7.968999999999999,3.27,0.18,5.22,1.21,0,0,2,3,3.57
0,4.239,1.85,0.15,1.4,0.79,0,1,0,1,0.55
8,8.281,3.28,0.19,5.91,1.18,0,0,2,3,2.89
0,9.194,5.9,0.15,5.92,2.26,0,0,0,3,2.8
2,0.0,1.5,0.18,3.11,0.7,0,1,4,1,2.05
0,0.0,0.0,0.33,2.27,2.17,0,0,2,1,1.89
6,0.0,0.0,0.46,3.29,0.28,0,0,0,1,2.42
3,0.0,0.0,0.36,1.94,0.72,0,0,0,3,0.27
0,0.0,0.0,0.2,-0.47,0.83,0,0,0,1,-0.29
0,5.901,2.25,0.2,4.67,1.87,0,0,0,3,3.23
1,6.709,2.4,0.14,4.12,2.04,0,1,7,1,3.21
3,6.019,2.24,0.19,4.72,1.25,0,0,2,1,3.79
4,4.234,0.55,0.3,1.82,1.42,1,1,6,1,1.98
0,6.136,1.25,0.21,3.56,1.56,0,0,0,1,2.15
1,0.0,1.49,0.17,2.51,0.71,0,1,4,2,1.89
3,6.149,2.35,0.2,5.47,1.24,0,0,0,1,4.23
4,6.3260000000000005,2.35,0.2,5.99,1.23,0,0,0,2,4.84
0,6.87,3.48,0.13,4.24,2.1,1,1,6,1,3.11
5,0.0,0.12,0.44,2.36,0.76,0,0,3,1,0.93
1,0.0,0.89,0.23,1.6,1.43,1,1,3,1,1.02
1,7.084,2.66,0.16,3.42,1.44,0,0,10,3,2.31
1,7.44,3.41,0.16,2.73,3.13,0,1,11,1,2.53
